siteID,X,Y,amRivDist,asRivDist,confDist,kopDist,binTerm,mpAvgTerm10,nearTerm,TM50,TM100,TM300,TMgt300,lriskDry,lriskWet,mpAvgTree10,asAvgTree10,nearTree,T25,T50,T100,T150,T200,T250,habitat,woodland
S10,733037,9715726,2373.797966,2354.088618,2569.571395,557.1117189,1,1352.5,25,0,0,0,0,0.001010063,0.001329457,305.1,499.7,225,0,0,0,0,0,1,GRASSLAND,GRASSLAND
S11,733253,9713559,4153.693306,4153.693306,4579.079393,2140.479118,0,1500,1500,0,0,0,0,0.00070559,0.000687213,82.5,127.7,38,0,1,7,6,6,1,WOODLAND,SPARSE
S12,732914,9711345,6288.637642,5741.969764,6557.527433,100,0,1500,1500,0,0,0,0,0.001002185,0.001383623,264,493.6,200,0,0,0,0,1,1,GRASSLAND,GRASSLAND
S13,733052,9708920,7099.546166,3619.45704,7111.011372,20,0,1500,1500,0,0,0,0,0.001064922,0.001722455,315.4,1500,4,1,0,0,0,0,0,GRASSLAND,GRASSLAND
T08,735260,9720293,2679.280245,191.3113748,209.8718933,4707.636671,0,1500,1500,0,0,0,0,0.00113237,0.001800215,22.5,37.7,12,5,18,27,500,500,500,WOODLAND,MODERATE
T09,735237,9718111,652.0656279,652.0656279,1493.762958,316,0,1500,1500,0,0,0,0,0.001389207,0.0027774,27.6,176.1,24,2,13,3,32,8,6,WOODLAND,MODERATE
T10,735099,9715716,1445.9463,1445.9463,1744.980749,1312.355304,0,1500,1500,0,0,0,0,0.000811401,0.001926095,58.7,118.7,20,1,3,13,13,30,43,WOODLAND,SPARSE
T11,734120,9714240,3152.560845,3152.560845,3495.236439,1478.61308,0,1500,1500,0,0,0,0,0.000654489,0.00083924,44.3,105.6,10,2,0,3,5,12,4,GRASSLAND,GRASSLAND
T12,735287,9711284,4404.567588,4404.567588,4689.805327,661.3774946,0,1500,1500,0,0,0,0,0.000752489,0.001013634,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
T13,736086,9708440,4205.20694,4055.751973,4043.325112,0,0,1500,1500,0,0,0,0,0.000840177,0.001226193,1500,1351,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
U09,737469,9718172,1579.468067,842.5692201,1670.407343,4393.212517,0,1500,1500,0,0,0,0,0.000736948,0.00228035,25.1,56.3,5,4,13,74,26,37,34,WOODLAND,MODERATE
U10,737509,9715800,35.27550457,29.05539722,1612.611797,3721.15998,0,1500,1500,0,0,0,0,0.000711745,0.002418178,50,151,14,3,2,6,0,0,0,WOODLAND,SPARSE
U11,737923,9713483,977.2019446,977.2019446,1258.005544,15,1,1352.7,27,0,0,0,0,0.000654953,0.001260894,1500,1232,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
U12,737517,9711364,2669.053437,2669.053437,3205.088951,1380.085057,0,1500,1500,0,0,0,0,0.000668859,0.000844833,1500,1500,1500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
U13,737212,9709662,2900.875689,2900.875689,3303.973865,2,0,1500,1500,0,0,0,0,0.000726622,0.000924551,1350.8,1351,8,1,0,0,0,0,0,GRASSLAND,GRASSLAND
V10,739688,9716166,1606.381436,1606.38143,2068.638783,4072.833263,0,1500,1500,0,0,0,0,0.000489621,0.001436143,62.7,169.6,3,1,2,8,5,19,43,WOODLAND,SPARSE
